Property Name,Location,BHK,Price,Status,Possession,Description
Rachana Bella Casa Royale,"Baner, Pune West","2, 3 BHK Apartment",₹ 98.44 L - 1.75 Cr,Partially Ready To Move,₹ 10654 / Sq.Ft. Dec 2021,"Rachana Bella Casa Royale society now offers elegantly built 2,3 BHK apartments in Baner. Rachana Bella Casa Royale is a RERA- registered society and P52100002878 is the RERA registration number. Apartment prices in this housing society vary in the range of Rs. 98.44 L - 1.75 Cr. Rachana B"
VTP Township Codename  Pegasus,"Kharadi, Pune East","1, 2, 3, 4 BHK Apartment | 3, 4, 5 BHK Villa",₹ 70.44 L - 11.29 Cr,Partially Ready To Move,₹ 10775 / Sq.Ft. Jan 2023,"Check out 1 BHK Apartment, 2 BHK Apartment and 3 BHK Apartment in VTP Township Codename  Pegasus, one of the best offerings in Kharadi. Property prices here start from Rs. 70.44 L. Swimming Pool, Gymnasium and Club House are some of the amenities offered here. VTP Township Codename  Pegasu"
Lodha Massimo,"Baner, Pune West","2, 3, 4, 5 BHK Apartment",₹ 3.03 - 8.08 Cr,New Launch,Jun 2029,"Check out 2,3,4,5 BHK apartments in Baner, now available for sale at Lodha Massimo. This society is RERA approved and PR1261012400049 is the RERA number. Apartments in Lodha Massimo have CARPET area ranging between 1,375.09 - 3,673.18 sq.ft.. Apartment prices in this housing society vary i"
Tricity Heritage,"New Panvel East, Navi Mumbai","1, 2 BHK Apartment",₹ 58.97 L - 1.53 Cr,New Launch,Dec 2029,"Check out 1,2 BHK apartments in New Panvel East, now available for sale at Tricity Heritage. Tricity Heritage 's RERA registration number is P52000077294. Tricity Heritage apartments are available in multiples sizes, ranging from 421.19 - 1,089.95 sq.ft. CARPET area. This society offers ap"
Lakevista at Purva Windermere,"Pallikaranai, Chennai South","1, 2, 3 BHK Apartment",₹ 56.52 L - 1.19 Cr,New Launch,Dec 2027,"Here are beautifully built 1,2,3 BHK apartments in Pallikaranai, available for sale at Lakevista at Purva Windermere. Lakevista at Purva Windermere has apartments in multiple configurations, in range of 379 - 811 sq.ft.. Lakevista at Purva Windermere is a RERA- registered society and TN/29"
VTP Altair,"Kharadi, Pune East","2, 3 BHK Apartment",₹ 75.08 L - 1.63 Cr,Under Construction,Jun 2025,"Finest 2,3 BHK apartments in Kharadi available for sale in VTP Altair. VTP Altair has apartments in multiple configurations, in range of 668.65 - 1,452.14 sq.ft.. The housing society is RERA-registered with P52100030521 registration number. Apartment prices in this housing society vary in"
Indiabulls Estate and Club,"Sector 104, Gurgaon","3, 4 BHK Apartment",₹ 4.2 - 9.72 Cr,New Launch,Sep 2029,"Beautiful 3,4 BHK apartments in Sector 104, are now available in Indiabulls Estate and Club housing project. Indiabulls Estate and Club is a RERA- registered society and GGM/897/629/2024/124 DATED 26.12.2024 is the RERA registration number. This society offers apartments in the price range"
Assetz Canvas and Cove,"Begur, Bangalore South",3 BHK Apartment,₹ 1.75 - 2.76 Cr,Under Construction,Jun 2025,"Assetz Canvas and Cove, one of the known housing societes in Bangalore South, brings classic yet modern 3 BHK apartments in Begur. Assetz Canvas and Cove 's RERA registration number is PRM/KA/RERA/1251/310/PR/200702/003480. Apartments in Assetz Canvas and Cove have CARPET area ranging betw"
M2K Olive Green Floors,"Sector 104, Gurgaon",3 BHK Apartment,₹ 1.95 Cr,New Launch,Dec 2029,"Check out 3 BHK apartments in Sector 104, now available for sale at M2K Olive Green Floors. This society offers apartments in the price range of Rs. 1.95 Cr. M2K Olive Green Floors has apartments in multiple configurations, in range of 835.94 sq.ft.. M2K Olive Green Floors 's RERA registra"
Piramal Revanta,"Mulund West, Central Mumbai","1, 2, 3, 4 BHK Apartment",₹ 1.65 - 4.9 Cr,Partially Ready To Move,₹ 17986 / Sq.Ft. Sep 2023,"Looking for your dream home? Explore 1,2,3,4 BHK apartments in Mulund West, now available in Piramal Revanta. Piramal Revanta has apartments in multiple configurations, in range of 471 - 1,400 sq.ft.. The housing society is RERA-registered with P51800005983 registration number. This societ"
Bhavyas Tulasivanam Avani,"Kukatpally, Hyderabad","2, 3 BHK Apartment",₹ 92.56 L - 1.45 Cr,Under Construction,Jun 2025,"Spacious 2,3 BHK apartments in Kukatpally are available for sale.Check out latest property options at Bhavyas Tulasivanam Avani housing society. This society offers apartments in the price range of Rs. 92.56 L - 1.45 Cr. This society is RERA approved and P02200004672 is the RERA number. Bh"
Paradise Sai World City,"Panvel, Navi Mumbai","2, 3, 4 BHK Apartment",₹ 1.44 - 9.64 Cr,Partially Ready To Move,₹ 9124 / Sq.Ft. Dec 2022,"Check out 2,3,4 BHK apartments in Panvel, now available for sale at Paradise Sai World City. The housing society is RERA-registered with P52000006318 registration number. Apartments in this complex are available in price range of Rs. 1.44 - 9.64 Cr. Paradise Sai World City has apartments i"
Wave Veridia Oakwood Enclave,"NH 24 Highway, Ghaziabad","4, 5 BHK Apartment",₹ 2.69 - 4.42 Cr,Partially Ready To Move,May 2023,"Beautiful 4,5 BHK apartments in NH 24 Highway, are now available in Wave Veridia Oakwood Enclave housing project. Apartment prices in this housing society vary in the range of Rs. 2.69 - 4.42 Cr. This society is RERA approved and UPRERAPRJ494396 is the RERA number. Apartments in Wave Verid"
Birla Navya,"Sector 63A, Gurgaon","2, 3, 4 BHK Independent Floor | Land",₹ 1.99 - 8.59 Cr,Partially Ready To Move,₹ 20000 / Sq.Ft. Jun 2024,"Birla Navya has 2 BHK Independent Floor, 3 BHK Independent Floor and 4 BHK Independent Floor options to offer in Sector 63A. Property prices here start from Rs. 1.99 Cr. Birla Navya is a Partially Ready To Move project. Swimming Pool, Gymnasium and Club House are some of the amenities offe"
Century Liva,"Yelahanka, Bangalore North","2, 3, 4, 5 BHK Apartment",₹ 1.03 - 5.47 Cr,New Launch,Dec 2028,"Spacious 2,3,4,5 BHK apartments in Yelahanka are available for sale.Check out latest property options at Century Liva housing society. Prices of apartments in this project, vary between Rs. 1.03 - 5.47 Cr. Century Liva 's RERA registration number is PRM/KA/RERA/1251/309/PR/130924/007015. H"
Godrej Nurture,"Bhandup, Central Mumbai","2, 3 BHK Apartment",₹ 1.53 - 3.17 Cr,New Launch,Mar 2031,"Godrej Nurture society now offers elegantly built 2,3 BHK apartments in Bhandup. Apartment prices in this housing society vary in the range of Rs. 1.53 - 3.17 Cr. Godrej Nurture is a RERA- registered society and P51800077080 is the RERA registration number. Here units have different sizes,"
Loharuka Green Heights Phase 2,"Rajarhat, Kolkata East","2, 3 BHK Apartment",₹ 55.7 - 82.52 L,New Launch,Jun 2026,"Choose your dream home from the wide variety of 2,3 BHK apartments in Rajarhat, available for sale in Loharuka Green Heights Phase 2. The housing society is RERA-registered with HIRA/P/NOR/2021/001280 registration number. Prices of apartments in this project, vary between Rs. 55.7 - 82.52"
Goyal Orchid Life,"Varthur, Bangalore East","2, 3 BHK Apartment",₹ 93 L - 2.24 Cr,New Launch,Feb 2030,"Beautiful 2,3 BHK apartments in Varthur, are now available in Goyal Orchid Life housing project. This society offers apartments in the price range of Rs. 93 L - 2.24 Cr. Goyal Orchid Life apartments are available in multiples sizes, ranging from 811 - 1,863 sq.ft. SUPER area. Goyal Orchid"
VTP Flamante,"Kharadi, Pune East","2, 3, 4 BHK Apartment",₹ 95.32 L - 2.3 Cr,Under Construction,Mar 2028,"Looking for your dream home? Explore 2,3,4 BHK apartments in Kharadi, now available in VTP Flamante. Prices of apartments in this project, vary between Rs. 95.32 L - 2.3 Cr. VTP Flamante has apartments in multiple configurations, in range of 762.74 - 1,794.46 sq.ft.. VTP Flamante 's RERA r"
Kasturi Eon Homes,"Phase 3 Hinjewadi, Pune West","2, 3 BHK Apartment",₹ 69.56 L - 1.54 Cr,Partially Ready To Move,₹ 4485 / Sq.Ft. Dec 2020,"Spacious 2,3 BHK apartments in Phase 3 Hinjewadi are available for sale.Check out latest property options at Kasturi Eon Homes housing society. Kasturi Eon Homes is a RERA- registered society and P52100001860 is the RERA registration number. Here units have different sizes, mostly in range"
Cybercity Villa Verde,"Hi Tech City, Hyderabad","4, 5 BHK Villa",Price on Request,New Launch,Oct 2027,"Check out 4,5 BHK Villa in Cybercity Villa Verde, located in Hi Tech City. Cybercity Villa Verde is a New Launch project .These Villas possession will begin in Oct, 2027. Sizes of Villas vary in 5,615 - 7,406 sq.ft.. Swimming Pool, Gymnasium and Club House are some of the amenities offered"
Whiteland Urban Resort,"Sector 103, Gurgaon","3, 4 BHK Apartment",₹ 5.81 - 9.54 Cr,New Launch,Sep 2030,"Whiteland Urban Resort, one of the known housing societes in Gurgaon, brings classic yet modern 3,4 BHK apartments in Sector 103. Whiteland Urban Resort 's RERA registration number is GGM/838/570/2024/65DATED18.06.2024. Apartments in Whiteland Urban Resort have SUPER area ranging between 2"
Aparna Newlands,"Tellapur, Hyderabad","2, 3 BHK Apartment",₹ 1.3 - 1.74 Cr,New Launch,Dec 2028,"Beautiful 2,3 BHK apartments in Tellapur, are now available in Aparna Newlands housing project. Aparna Newlands has apartments in multiple configurations, in range of 1,475 - 1,974 sq.ft.. Aparna Newlands 's RERA registration number is P01100007480. Apartments in this complex are available"
Kumar Codename LightHouse,"Hadapsar, Pune East","2, 3 BHK Apartment",₹ 61.73 L - 1.41 Cr,New Launch,Dec 2028,"Finest 2,3 BHK apartments in Hadapsar available for sale in Kumar Codename LightHouse. This society offers apartments in the price range of Rs. 61.73 L - 1.41 Cr. Here units have different sizes, mostly in range of 692 - 937.85 sq.ft. CARPET area. Kumar Codename LightHouse 's RERA registra"
Solaris City Serampore,"Serampore, Hooghly","2, 3 BHK Apartment",₹ 25.51 - 41.3 L,Under Construction,Jul 2025,"Spacious 2,3 BHK apartments in Serampore are available for sale.Check out latest property options at Solaris City Serampore housing society. Prices of apartments in this project, vary between Rs. 25.51 - 41.3 L. Solaris City Serampore has apartments in multiple configurations, in range of"
Krisala 41 Luxovert,"Tathawade, Pune West","2, 3, 4 BHK Apartment",₹ 57.81 L - 1.66 Cr,New Launch,Jul 2028,"Beautiful 2,3,4 BHK apartments in Tathawade, are now available in Krisala 41 Luxovert housing project. Apartment prices in this housing society vary in the range of Rs. 57.81 L - 1.66 Cr. Apartments in Krisala 41 Luxovert have CARPET area ranging between 509.78 - 1,326 sq.ft.. This society"
BRR North Excellency Phase 1,"Thanisandra, Bangalore North","2, 3 BHK Apartment",₹ 96.75 L - 1.47 Cr,New Launch,Dec 2029,"Spacious 2,3 BHK apartments in Thanisandra are available for sale.Check out latest property options at BRR North Excellency Phase 1 housing society. This society is RERA approved and PRM/KA/RERA/1251/309/PR/180225/007514 is the RERA number. This society offers apartments in the price range"
Uninav Residena,"Raj Nagar Extension, Ghaziabad","3, 4 BHK Apartment",₹ 1.31 - 2.19 Cr,New Launch,Oct 2029,"Check out 3,4 BHK apartments in Raj Nagar Extension, now available for sale at Uninav Residena. Uninav Residena is a RERA- registered society and UPRERAPRJ991195/12/2024 is the RERA registration number. This society offers apartments in the price range of Rs. 1.31 - 2.19 Cr. Apartments in"
Airica Tower,"Bhandup West, Central Mumbai","1, 2, 3 BHK Apartment",₹ 1.36 - 3.62 Cr,New Launch,Dec 2029,"Looking for your dream home? Explore 1,2,3 BHK apartments in Bhandup West, now available in Airica Tower. The housing society is RERA-registered with P51800055125 registration number. Prices of apartments in this project, vary between Rs. 1.36 - 3.62 Cr. Airica Tower has apartments in mult"
The Prestige City Hyderabad,"Rajendra Nagar, Hyderabad","1, 2, 3, 4 BHK Apartment",₹ 84.88 L - 2.99 Cr,Under Construction,Jul 2026,"Here are beautifully built 1,2,3,4 BHK apartments in Rajendra Nagar, available for sale at The Prestige City Hyderabad. The Prestige City Hyderabad has apartments in multiple configurations, in range of 1,179 - 3,431 sq.ft.. Apartment prices in this housing society vary in the range of Rs."
Godrej Ananda,"Bagalur, Bangalore North","2, 3 BHK Apartment",₹ 1.11 - 1.92 Cr,Under Construction,Jan 2026,"Godrej Ananda society now offers elegantly built 2,3 BHK apartments in Bagalur. Prices of apartments in this project, vary between Rs. 1.11 - 1.92 Cr. The housing society is RERA-registered with PRM/KA/RERA/1251/309/PR/210331/004084 registration number. Godrej Ananda has apartments in mult"
Vrindavan by Namishree,"Kondapur, Hyderabad","2, 3, 4 BHK Apartment",₹ 1.23 - 2.69 Cr,New Launch,Mar 2029,"Here are beautifully built 2,3,4 BHK apartments in Kondapur, available for sale at Vrindavan by Namishree. This society offers apartments in the price range of Rs. 1.23 - 2.69 Cr. The housing society is RERA-registered with P02400008653 registration number. Vrindavan by Namishree has apart"
Shubh Nirvana,"Viman Nagar, Pune East","3, 4 BHK Apartment",₹ 1.57 - 3.9 Cr,Under Construction,Dec 2025,"Finest 3,4 BHK apartments in Viman Nagar available for sale in Shubh Nirvana. Shubh Nirvana 's RERA registration number is P52100031263. Apartments in Shubh Nirvana have CARPET area ranging between 1,129 - 2,433 sq.ft.. Apartments in this complex are available in price range of Rs. 1.57 -"
Millennium Falcon,"Tathawade, Pune West",2 BHK Apartment,₹ 80.53 - 82.34 L,New Launch,Dec 2028,"Spacious 2 BHK apartments in Tathawade are available for sale.Check out latest property options at Millennium Falcon housing society. Millennium Falcon apartments are available in multiples sizes, ranging from 800 - 818 sq.ft. CARPET area. Millennium Falcon is a RERA- registered society an"
Rajapushpa Aurelia,"Tellapur, Hyderabad","3, 4 BHK Apartment",₹ 2.37 - 3.45 Cr,New Launch,Oct 2028,"Here are beautifully built 3,4 BHK apartments in Tellapur, available for sale at Rajapushpa Aurelia. Apartments in this complex are available in price range of Rs. 2.37 - 3.45 Cr. The housing society is RERA-registered with P01100007180 registration number. Apartments in Rajapushpa Aurelia"
Futureisone Aiikya Village,"Sarjapur Road, Bangalore East","2, 3, 4, 5 BHK Apartment",₹ 1.39 - 2.43 Cr,New Launch,Nov 2026,"Spacious 2,3,4,5 BHK apartments in Sarjapur Road are available for sale.Check out latest property options at Futureisone Aiikya Village housing society. Apartments in Futureisone Aiikya Village have SUPER area ranging between 1,502 - 2,733 sq.ft.. Futureisone Aiikya Village 's RERA registr"
Concorde Mayfair,"Yelahanka, Bangalore North",3 BHK Apartment,₹ 2.2 - 2.52 Cr,New Launch,Nov 2028,"Concorde Mayfair society now offers elegantly built 3 BHK apartments in Yelahanka. The housing society is RERA-registered with PRM/KA/RERA/1251/309/PR/030524/006839 registration number. Prices of apartments in this project, vary between Rs. 2.2 - 2.52 Cr. Apartments in Concorde Mayfair hav"
Galaxy Maplewoods,"Airoli, Navi Mumbai","1, 2, 3, 4 BHK Apartment",₹ 1.24 - 2.03 Cr,New Launch,Dec 2028,"Spacious 1,2,3,4 BHK apartments in Airoli are available for sale.Check out latest property options at Galaxy Maplewoods housing society. This society is RERA approved and P51700050973 is the RERA number. Galaxy Maplewoods apartments are available in multiples sizes, ranging from 420.87 - 9"
Malo Armonique,"Thoraipakkam, Chennai South",5 BHK Villa,₹ 3.34 - 3.62 Cr,New Launch,Apr 2026,"Buy 5 BHK Villa for sale in Thoraipakkam in a gated society by Malo Armonique. Villas in Malo Armonique are New Launch. Prices of Villas in Malo Armonique hover between Rs. 3.34 - 3.62 Cr. Car Parking, Lifts and 24/7 Power Backup are some of the amenities offered here in this project"
Total Environment In That Quiet Earth,"Hennur Road, Bangalore North","2, 3, 4 BHK Apartment",₹ 2.05 - 7.1 Cr,Under Construction,₹ 8218 / Sq.Ft. Dec 2025,"Finest 2,3,4 BHK apartments in Hennur Road available for sale in Total Environment In That Quiet Earth. Apartments in this complex are available in price range of Rs. 2.05 - 7.1 Cr. Total Environment In That Quiet Earth apartments are available in multiples sizes, ranging from 934 - 2,768"
Godrej Zenith,"Sector 89, Gurgaon","2, 3, 4 BHK Apartment",₹ 2.19 - 7.9 Cr,New Launch,Feb 2027,"Finest 2,3,4 BHK apartments in Sector 89 available for sale in Godrej Zenith. Prices of apartments in this project, vary between Rs. 2.19 - 7.9 Cr. Apartments in Godrej Zenith have CARPET area ranging between 635.5 - 2,290.47 sq.ft.. Godrej Zenith is a RERA- registered society and GGM/799/"
Little Earth by Kolte Patil,"Kiwale, Pune West","2, 3 BHK Apartment",₹ 57.91 L - 1.08 Cr,Under Construction,₹ 5376 / Sq.Ft. Jun 2025,"Little Earth by Kolte Patil society now offers elegantly built 2,3 BHK apartments in Kiwale. This society is RERA approved and P52100047721 is the RERA number. Apartments in Little Earth by Kolte Patil have CARPET area ranging between 580 - 1,081 sq.ft.. This society offers apartments in t"
Godrej Bliss,"Kandivali East, Western Mumbai","1, 2, 3 BHK Apartment",₹ 1.03 - 4.4 Cr,New Launch,Nov 2029,"Spacious 1,2,3 BHK apartments in Kandivali East are available for sale.Check out latest property options at Godrej Bliss housing society. Apartments in Godrej Bliss have CARPET area ranging between 405 - 985 sq.ft.. Godrej Bliss 's RERA registration number is P51800051172. Prices of apartm"
Sobha Ayana,"Balagere, Bangalore East",3 BHK Apartment,₹ 2.28 - 2.63 Cr,New Launch,Nov 2027,"Sobha Ayana society now offers elegantly built 3 BHK apartments in Balagere. Sobha Ayana is a RERA- registered society and PRM/KA/RERA/1251/446/PR/030824/006958 is the RERA registration number. Sobha Ayana apartments are available in multiples sizes, ranging from 1,116.55 - 1,286.62 sq.ft."
Identity Pride,"Nager Bazar, Kolkata North","2, 3 BHK Apartment",₹ 68 L - 1.01 Cr,New Launch,Jan 2031,"Spacious 2,3 BHK apartments in Nager Bazar are available for sale.Check out latest property options at Identity Pride housing society. Identity Pride apartments are available in multiples sizes, ranging from 697 - 1,036 sq.ft. BUILTUP area. Prices of apartments in this project, vary betwee"
NYSA Crosswind,"Bhayli, Vadodara","3, 4, 5 BHK Apartment",₹ 96.12 L - 2.32 Cr,New Launch,Dec 2025,"Finest 3,4,5 BHK apartments in Bhayli available for sale in NYSA Crosswind. Apartment prices in this housing society vary in the range of Rs. 96.12 L - 2.32 Cr. Apartments in NYSA Crosswind have SUPER area ranging between 2,670 - 6,440 sq.ft.. NYSA Crosswind is a RERA- registered society a"
Pearl Ishaan,"K K Nagar, Chennai West",3 BHK Apartment,₹ 3.22 Cr,New Launch,Jun 2026,"Choose your dream home from the wide variety of 3 BHK apartments in K K Nagar, available for sale in Pearl Ishaan. The housing society is RERA-registered with TN/29/Building/0415/2024 registration number. Prices of apartments in this project, vary between Rs. 3.22 Cr. Pearl Ishaan apartmen"
Pearl Araliya,"Perumbakkam, Chennai South",3 BHK Apartment,₹ 79.35 - 80.85 L,New Launch,Jan 2026,"Here are beautifully built 3 BHK apartments in Perumbakkam, available for sale at Pearl Araliya. Apartments in this complex are available in price range of Rs. 79.35 - 80.85 L. Pearl Araliya apartments are available in multiples sizes, ranging from 1,221 - 1,244 sq.ft. CARPET area. Pearl A"
DS MAX Sky Sisira,"Yelahanka, Bangalore North","2, 3 BHK Apartment",₹ 41.77 - 88.53 L,New Launch,Sep 2030,"Looking for your dream home? Explore 2,3 BHK apartments in Yelahanka, now available in DS MAX Sky Sisira. Here units have different sizes, mostly in range of 622.05 - 1,163 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 41.77 - 88.53 L. DS MAX Sky Sis"
VTP Dolce Vita,"Kharadi, Pune East","2, 3 BHK Apartment",₹ 87 L - 1.79 Cr,Under Construction,Dec 2028,"Check out 2,3 BHK apartments in Kharadi, now available for sale at VTP Dolce Vita. Apartments in VTP Dolce Vita have CARPET area ranging between 756.06 - 1,457.86 sq.ft.. The housing society is RERA-registered with P52100051819 registration number. Apartments in this complex are available"
Majestique Signature Towers,"Balewadi, Pune West","2, 3 BHK Apartment",₹ 96.25 L - 2.5 Cr,Partially Ready To Move,₹15527/ Sq.Ft. Sep 2024,"Finest 2,3 BHK apartments in Balewadi available for sale in Majestique Signature Towers. Here units have different sizes, mostly in range of 644.65 - 1,448 sq.ft. CARPET area. This society is RERA approved and P52100017133 is the RERA number. Apartment prices in this housing society vary i"
Prestige Pine Forest,"Whitefield, Bangalore East","3, 4 BHK Apartment",₹ 3.52 - 4.77 Cr,New Launch,Sep 2027,"Prestige Pine Forest, one of the known housing societes in Bangalore East, brings classic yet modern 3,4 BHK apartments in Whitefield. Prestige Pine Forest 's RERA registration number is PRM/KA/RERA/1251/446/PR/190924/007048. Apartments in Prestige Pine Forest have SUPER area ranging betwe"
Golden Era Home,"Zirakpur, Chandigarh",3 BHK Apartment,₹ 86.61 L,New Launch,Jan 2029,"Beautiful 3 BHK apartments in Zirakpur, are now available in Golden Era Home housing project. Golden Era Home 's RERA registration number is PBRERA-SAS79-PR0996. Golden Era Home apartments are available in multiples sizes, ranging from 1,013 sq.ft. CARPET area. Prices of apartments in this"
Raheja Lunaris,"Juinagar, Navi Mumbai",2 BHK Apartment,₹ 1.12 - 1.9 Cr,New Launch,Dec 2030,"Raheja Lunaris society now offers elegantly built 2 BHK apartments in Juinagar. Apartments in this complex are available in price range of Rs. 1.12 - 1.9 Cr. Here units have different sizes, mostly in range of 452 - 649 sq.ft. CARPET area. Raheja Lunaris is a RERA- registered society and P"
Sipani Samuha,"Nagasandra, Bangalore West","2, 3 BHK Apartment",₹ 96 L - 1.52 Cr,New Launch,Jun 2028,"Choose your dream home from the wide variety of 2,3 BHK apartments in Nagasandra, available for sale in Sipani Samuha. Sipani Samuha 's RERA registration number is PRM/KA/RERA/1251/309/PR/310125/007462. Apartment prices in this housing society vary in the range of Rs. 96 L - 1.52 Cr. Apart"
Puravankara Purva Park Hill,"Mallasandra, Bangalore South",3 BHK Apartment,₹ 1.75 - 1.93 Cr,Under Construction,Dec 2027,"Looking for your dream home? Explore 3 BHK apartments in Mallasandra, now available in Puravankara Purva Park Hill. Puravankara Purva Park Hill 's RERA registration number is PRM/KA/RERA/1251/310/PR/220601/004946. Prices of apartments in this project, vary between Rs. 1.75 - 1.93 Cr. Purav"
Regency Anantam,"Dombivli East, Thane Outskirts","1, 2 BHK Apartment",₹ 39.81 L - 1.05 Cr,Partially Ready To Move,Mar 2022,"Regency Anantam, one of the known housing societes in Thane Outskirts, brings classic yet modern 1,2 BHK apartments in Dombivli East. Regency Anantam apartments are available in multiples sizes, ranging from 420 - 778 sq.ft. CARPET area. Regency Anantam is a RERA- registered society and P5"
EAPL Sri Tirumala Fortune,"Tukkuguda, Hyderabad","3, 4 BHK Apartment",₹ 1.01 - 1.77 Cr,Under Construction,Sep 2028,"Spacious 3,4 BHK apartments in Tukkuguda are available for sale.Check out latest property options at EAPL Sri Tirumala Fortune housing society. Apartments in this complex are available in price range of Rs. 1.01 - 1.77 Cr. Apartments in EAPL Sri Tirumala Fortune have SUPER area ranging bet"
Sark South Meadows 1,"Raviryal, Hyderabad",3 BHK Villa,₹ 1.81 - 1.85 Cr,Under Construction,May 2026,"Book 3 BHK Villa for sale in Raviryal by Sark South Meadows 1. Swimming Pool, Gymnasium and Club House are some of the major amenities offered here. Sark South Meadows 1 is an Under Construction project .These Villas possession will begin in May, 2026. Sizes of Villas vary in 2,350 - 2,400"
Oneoak Eden at 1,"Gomti Nagar Extension, Lucknow","3, 4 BHK Apartment",Price on Request,New Launch,Nov 2029,"Choose your dream home from the wide variety of 3,4 BHK apartments in Gomti Nagar Extension, available for sale in Oneoak Eden at 1. This society is RERA approved and UPRERAPRJ877584/01/2025 is the RERA number. Oneoak Eden at 1 apartments are available in multiples sizes, ranging from 1,40"
Birla Trimaya Phase 3,"Devanahalli, Bangalore North","2, 3, 4 BHK Apartment",₹ 1.12 - 3.16 Cr,New Launch,Aug 2030,"Check out 2,3,4 BHK apartments in Devanahalli, now available for sale at Birla Trimaya Phase 3. Here units have different sizes, mostly in range of 789 - 2,043 sq.ft. CARPET area. Birla Trimaya Phase 3 's RERA registration number is PRM/KA/RERA/1250/303/PR/300125/007458. Apartment prices i"
Superb Maximus Residency,"Panvel, Navi Mumbai","1, 2, 3 BHK Apartment",₹ 46.02 L - 1.05 Cr,New Launch,Dec 2029,"Beautiful 1,2,3 BHK apartments in Panvel, are now available in Superb Maximus Residency housing project. The housing society is RERA-registered with P52000066491 registration number. Here units have different sizes, mostly in range of 490.28 - 1,115.66 sq.ft. CARPET area. This society offe"
Abhee Serenity Springs,"Electronic City Phase 2, Bangalore South","2, 3 BHK Apartment",₹ 78.74 L - 1.26 Cr,New Launch,Jun 2026,"Abhee Serenity Springs, one of the known housing societes in Bangalore South, brings classic yet modern 2,3 BHK apartments in Electronic City Phase 2. This society offers apartments in the price range of Rs. 78.74 L - 1.26 Cr. Abhee Serenity Springs 's RERA registration number is PRM/KA/RE"
UST Heights,"Tollygunge, Kolkata South",3 BHK Apartment,₹ 1 - 1.13 Cr,New Launch,Aug 2027,"Beautiful 3 BHK apartments in Tollygunge, are now available in UST Heights housing project. This society is RERA approved and WBRERA/P/SOU/2024/002277 is the RERA number. Apartment prices in this housing society vary in the range of Rs. 1 - 1.13 Cr. UST Heights has apartments in multiple c"
The Reserve,"Mundhwa, Pune East","3, 4 BHK Apartment",₹ 2.1 - 5 Cr,New Launch,Dec 2029,"Looking for your dream home? Explore 3,4 BHK apartments in Mundhwa, now available in The Reserve . Apartments in this complex are available in price range of Rs. 2.1 - 5 Cr. The housing society is RERA-registered with PR1260002400065 registration number. The Reserve  apartments are availab"
Mana Dale,"Kodathi, Bangalore East","3, 4 BHK Apartment",₹ 1.26 - 1.91 Cr,Under Construction,Dec 2032,"Looking for your dream home? Explore 3,4 BHK apartments in Kodathi, now available in Mana Dale. Mana Dale apartments are available in multiples sizes, ranging from 1,482 - 2,145 sq.ft. SUPER area. Mana Dale 's RERA registration number is PRM/KA/RERA/1251/446/PR/091123/006409. Apartment pri"
Brigade Valencia,"Electronic City, Bangalore South","2, 3, 4 BHK Apartment",₹ 1.15 - 3.18 Cr,Under Construction,Dec 2027,"Choose your dream home from the wide variety of 2,3,4 BHK apartments in Electronic City, available for sale in Brigade Valencia. Brigade Valencia apartments are available in multiples sizes, ranging from 578.56 - 1,782 sq.ft. CARPET area. This society is RERA approved and PRM/KA/RERA/1251/"
DS MAX SkySanman,"Anekal, Bangalore South","2, 3 BHK Apartment",₹ 56.64 L - 1.09 Cr,New Launch,Jan 2030,"Here are beautifully built 2,3 BHK apartments in Anekal, available for sale at DS MAX SkySanman. This society offers apartments in the price range of Rs. 56.64 L - 1.09 Cr. Here units have different sizes, mostly in range of 665 - 1,264 sq.ft. CARPET area. The housing society is RERA-regis"
Abhee Celestial City,"Sarjapur Road, Bangalore East","2, 3 BHK Apartment",₹ 1.31 - 1.94 Cr,New Launch,Jun 2029,"Choose your dream home from the wide variety of 2,3 BHK apartments in Sarjapur Road, available for sale in Abhee Celestial City. Abhee Celestial City 's RERA registration number is PRM/KA/RERA/1251/308/PR/071123/006380. Apartment prices in this housing society vary in the range of Rs. 1.31"
Prabha Anahita,"Bara Nagar, Kolkata North","2, 3 BHK Apartment",₹ 47.78 - 92.37 L,New Launch,Aug 2029,"Finest 2,3 BHK apartments in Bara Nagar available for sale in Prabha Anahita. Prabha Anahita apartments are available in multiples sizes, ranging from 669 - 932 sq.ft. BUILTUP area. Prabha Anahita is a RERA- registered society and WBRERA/P/NOR/2024/002167 is the RERA registration number. P"
Metro Kings Court,"Jatni, Bhubaneswar",4 BHK Villa,₹ 1.37 - 2.1 Cr,Under Construction,Nov 2026,"Buy 4 BHK Villa for sale in Jatni in a gated society by Metro Kings Court. Metro Kings Court Villas are Under Construction. Children's Play Area, Jogging Track and Yoga/Meditation Area are some of the popular amenities offered here. Sizes of Villas vary in 2,100 - 2,580 sq.ft."
Vilas Palladio Kharadi Central Phase 2,"Kharadi, Pune East","2, 3, 4 BHK Apartment",₹ 1.1 - 2.9 Cr,New Launch,Dec 2028,"Vilas Palladio Kharadi Central Phase 2, one of the known housing societes in Pune East, brings classic yet modern 2,3,4 BHK apartments in Kharadi. Vilas Palladio Kharadi Central Phase 2 apartments are available in multiples sizes, ranging from 756 - 1,319 sq.ft. CARPET area. Apartment pric"
