Property Name,Location,BHK,Price,Status,Possession,Description
M3M Altitude,"Sector 65, Gurgaon",4 BHK Apartment,₹ 8.95 - 10.29 Cr,New Launch,Jun 2026,M3M Altitude society now offers elegantly built 4 BHK apartments in Sector 65. This society offers apartments in the price range of Rs. 8.95 - 10.29 Cr. This society is RERA approved and GGM/821/553/2024/48 DATED 29.04.2024 is the RERA number. M3M Altitude has apartments in multiple config
Puri Diplomatic Residences,"Sector 111, Gurgaon","3, 4 BHK Apartment",₹ 4.18 - 7.3 Cr,New Launch,Dec 2028,"Puri Diplomatic Residences, one of the known housing societes in Gurgaon, brings classic yet modern 3,4 BHK apartments in Sector 111. Puri Diplomatic Residences apartments are available in multiples sizes, ranging from 1,586.95 - 2,489.17 sq.ft. CARPET area. The housing society is RERA-reg"
F Residences Merlin,"Rajarhat, Kolkata East","3, 4 BHK Apartment",₹ 93.01 L - 1.63 Cr,New Launch,Jun 2030,"Spacious 3,4 BHK apartments in Rajarhat are available for sale.Check out latest property options at F Residences Merlin housing society. F Residences Merlin apartments are available in multiples sizes, ranging from 962 - 1,577 sq.ft. BUILTUP area. Apartment prices in this housing society v"
Godrej Riverine,"Sector 44, Noida","3, 4 BHK Apartment",₹ 7.3 - 12.71 Cr,New Launch,Sep 2029,"Looking for your dream home? Explore 3,4 BHK apartments in Sector 44, now available in Godrej Riverine. Apartments in this complex are available in price range of Rs. 7.3 - 12.71 Cr. Godrej Riverine is a RERA- registered society and UPRERAPRJ763929/11/2024 is the RERA registration number."
M3M The Line,"Sector 72, Noida",Showroom | Shop,₹ 70 L - 21.55 Cr,New Launch,Jul 2028,"A commercial shop for sale in Sector 72, Noida, is now on offer at M3M The Line. M3M The Line is owned by M3M India. There are several facilities available here such as Shopping Centre, Restaurant and Food Court. Shop prices in Sector 72, Noida starts from Rs. 70 L. This is a New Launch pr"
Montevista Dasnac Arc Phase 1,"Sector 72, Noida",Shop,₹ 1.15 Cr,New Launch,Jun 2028,"A brand-new shop for sale in Sector 72, Noida is now available in Montevista Dasnac Arc Phase 1. Being a New Launch project, this can be a perfect investment option for you. Brought to you by Montevista, these shops comes with various facilities such as Car Parking, Fire Fighting Systems a"
CRC The Flagship,"Sector 140A, Noida",Bare shell Office Space | Shop,₹ 72.45 L - 5.21 Cr,Under Construction,Nov 2027,"Check out the latest investment options in CRC The Flagship, offering Bare shell Office Space and Shop for sale in Sector 140A, Noida. Prices in this project starts at of Rs. 72.45 L. The construction of this project is being led by CRC Group. Swimming Pool, Gymnasium and Theatre are some"
AIPL Joy District,"Sector 88, Gurgaon",Shop,₹ 83.34 L - 11.67 Cr,New Launch,Jun 2028,"Check out this shop for sale in Sector 88, Gurgaon. Located in AIPL Joy District, this is one of the prime areas to buy commercial property in Gurgaon. Shop prices at this project starts at Rs. 83.34 L. AIPL Joy District is a New Launch right now, which means it is perfect for investment."
Iris Broadway Greno West,"Ecotech 12, Greater Noida",Ready to move Office Space | Shop,₹ 18 L - 95.61 Cr,Under Construction,Jun 2026,"Looking for investment options Greater Noida ? Check out Ready to move Office Space and Shop for sale in Ecotech 12, Greater Noida. This complex is right now Under Construction .It will be available from Jun, 2026. The starting price in this project is Rs. 18 L. Ecotech 12 is a strategic l"
SS WHITEWATER,"Sector 90, Gurgaon",Shop,₹ 1.25 Cr,New Launch,Sep 2028,"A brand-new shop for sale in Sector 90, Gurgaon is now available in SS WHITEWATER. Shops for sale in Sector 90 are available at Rs. 1.25 Cr onwards. This project is a product of SS Group. Some of the popular features of this project includes Gymnasium, Park and Grocery Shop. Being a New La"
